ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
212,Late/Int. Stem Borer Variety Trial,M2015OBK,3,TZBR Syn-W C1,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2372.5,,,,,,,,64,64,3.8,28,80,,,,,4.3,,,,,4.0,37,171,1.3,,,,,3.8,,,,19.5,,0.3,4,,,,3.0,,,,,,,,,2.0,,,,,40,,,3.8,,,,,,,,,
213,Late/Int. Stem Borer Variety Trial,M2015OBK,4,TZBR Syn-Y C1,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2662.9,,,,,,,,63,64,3.8,25,85,,,,,5.3,,,,,4.3,35,169,2.8,,,,,4.8,,,,17.5,,0.8,4,,,,2.0,,,,,,,,,3.0,,,,,39,,,3.3,,,,,,,,,
214,Late/Int. Stem Borer Variety Trial,M2015OBK,5,AMA TZBR-W C1,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2861.7,,,,,,,,64,65,3.5,29,72,,,,,3.5,,,,,3.8,37,161,0.8,,,,,5.0,,,,17.8,,0.8,3,,,,2.5,,,,,,,,,2.0,,,,,39,,,3.3,,,,,,,,,
215,Late/Int. Stem Borer Variety Trial,M2015OBK,6,ICZ5 BC2A (9450),NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2288.5,,,,,,,,60,60,5.0,25,70,,,,,4.5,,,,,5.0,33,158,0.8,,,,,6.3,,,,21.5,,0.3,4,,,,4.0,,,,,,,,,2.0,,,,,38,,,4.0,,,,,,,,,
216,Late/Int. Stem Borer Variety Trial,M2015OBK,7,ICZ5 BC2B (KU1414SR/SR),NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2089.2,,,,,,,,60,60,4.5,24,75,,,,,4.5,,,,,5.3,37,164,0.8,,,,,6.8,,,,18.3,,0.3,4,,,,2.8,,,,,,,,,2.0,,,,,40,,,4.5,,,,,,,,,
217,Late/Int. Stem Borer Variety Trial,M2015OBK,8,TZBR Ses 1 C3-W,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2739.4,,,,,,,,62,63,4.0,28,87,,,,,4.8,,,,,4.0,37,167,1.0,,,,,5.5,,,,17.5,,0.3,4,,,,1.0,,,,,,,,,2.0,,,,,40,,,3.0,,,,,,,,,
218,Late/Int. Stem Borer Variety Trial,M2015OBK,9,TZBR Ses 1 C3-Y,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2505.1,,,,,,,,64,65,3.5,26,77,,,,,4.5,,,,,3.8,34,154,1.5,,,,,6.5,,,,14.5,,1.0,3,,,,4.3,,,,,,,,,2.0,,,,,40,,,3.8,,,,,,,,,
219,Late/Int. Stem Borer Variety Trial,M2015OBK,10,TZBR Ses 3 C3-Y,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,1902.2,,,,,,,,61,62,4.8,22,78,,,,,5.8,,,,,5.0,35,155,4.5,,,,,5.5,,,,17.3,,0.3,4,,,,1.8,,,,,,,,,1.8,,,,,38,,,3.8,,,,,,,,,
220,Late/Int. Stem Borer Variety Trial,M2015OBK,11,TZBR Ses 3 C3-W,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,1422.1,,,,,,,,64,65,5.5,19,73,,,,,5.3,,,,,5.0,34,154,2.0,,,,,6.5,,,,15.8,,1.0,4,,,,2.0,,,,,,,,,2.3,,,,,39,,,4.0,,,,,,,,,
221,Late/Int. Stem Borer Variety Trial,M2015OBK,12,CHECK,NIGERIA,OBIRIKOM,,6.55,4.93,,2000,2437.4,,,,,,,,63,63,3.8,23,69,,,,,5.0,,,,,4.3,35,157,1.3,,,,,5.0,,,,16.5,,0.5,4,,,,1.5,,,,,,,,,2.3,,,,,39,,,3.5,,,,,,,,,
222,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,1,TZBR ELD1 C7,NIGERIA,EGBEMA,,7.43,5.52,,2001,4071.8,,,,,,,5.8,59,59,3.0,39,41,,,,,3.8,,,,,4.8,41,,1.8,,,,,2.8,,,,4.8,,0.3,,,,,1.0,,,,,,,4.6,,,,,,,,,,3.8,,,,,,,,,
223,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,2,TZBR ELD3-C2,NIGERIA,EGBEMA,,7.43,5.52,,2001,3733.2,,,,,,,4.3,65,66,3.0,34,40,,,,,4.5,,,,,4.0,40,,0.8,,,,,2.3,,,,2.5,,0.5,,,,,,,,,,,,4.2,,,,,,,,,,3.3,,,,,,,,,
224,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,3,TZBR ELD3-C3,NIGERIA,EGBEMA,,7.43,5.52,,2001,4292.5,,,,,,,4.8,62,62,3.0,39,42,,,,,4.8,,,,,4.3,41,,1.0,,,,,1.5,,,,3.5,,,,,,,0.5,,,,,,,4.7,,,,,,,,,,3.0,,,,,,,,,
225,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,4,TZBR SYN-W C2,NIGERIA,EGBEMA,,7.43,5.52,,2001,4629.0,,,,,,,3.8,63,64,3.5,38,41,,,,,3.8,,,,,4.0,40,,0.5,,,,,2.3,,,,4.5,,0.3,,,,,,,,,,,,5.1,,,,,,,,,,3.0,,,,,,,,,
226,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,5,TZBR SYN-Y C2,NIGERIA,EGBEMA,,7.43,5.52,,2001,3627.7,,,,,,,3.8,64,64,3.0,33,38,,,,,4.3,,,,,3.8,37,,1.8,,,,,3.3,,,,4.8,,,,,,,0.3,,,,,,,4.1,,,,,,,,,,3.3,,,,,,,,,
